.chain,.iteration,.draw,variable,value
0,126,126,rtu_weekly_diff_first_diff_ar_process_noise,-0.07081285119056702
0,127,127,rtu_weekly_diff_first_diff_ar_process_noise,0.13431118428707123
0,128,128,rtu_weekly_diff_first_diff_ar_process_noise,-0.0515260212123394
0,129,129,rtu_weekly_diff_first_diff_ar_process_noise,-0.05699089169502258
0,130,130,rtu_weekly_diff_first_diff_ar_process_noise,0.22282566130161285
0,131,131,rtu_weekly_diff_first_diff_ar_process_noise,0.08128856122493744
0,132,132,rtu_weekly_diff_first_diff_ar_process_noise,0.09603957086801529
0,133,133,rtu_weekly_diff_first_diff_ar_process_noise,-0.03377694636583328
0,134,134,rtu_weekly_diff_first_diff_ar_process_noise,0.10935021936893463
0,135,135,rtu_weekly_diff_first_diff_ar_process_noise,0.30479371547698975
0,136,136,rtu_weekly_diff_first_diff_ar_process_noise,0.304301381111145
0,137,137,rtu_weekly_diff_first_diff_ar_process_noise,0.25222474336624146
0,138,138,rtu_weekly_diff_first_diff_ar_process_noise,0.1685897409915924
0,139,139,rtu_weekly_diff_first_diff_ar_process_noise,-0.00021574459969997406
0,140,140,rtu_weekly_diff_first_diff_ar_process_noise,0.007404496427625418
0,141,141,rtu_weekly_diff_first_diff_ar_process_noise,0.10099566727876663
0,142,142,rtu_weekly_diff_first_diff_ar_process_noise,-0.010326799005270004
0,143,143,rtu_weekly_diff_first_diff_ar_process_noise,0.009560706093907356
0,144,144,rtu_weekly_diff_first_diff_ar_process_noise,0.005324314348399639
0,145,145,rtu_weekly_diff_first_diff_ar_process_noise,0.18521828949451447
0,146,146,rtu_weekly_diff_first_diff_ar_process_noise,0.20160271227359772
0,147,147,rtu_weekly_diff_first_diff_ar_process_noise,0.1692531853914261
0,148,148,rtu_weekly_diff_first_diff_ar_process_noise,0.2333565056324005
0,149,149,rtu_weekly_diff_first_diff_ar_process_noise,0.20894956588745117
0,150,150,rtu_weekly_diff_first_diff_ar_process_noise,-0.08730289340019226
0,151,151,rtu_weekly_diff_first_diff_ar_process_noise,0.24829497933387756
0,152,152,rtu_weekly_diff_first_diff_ar_process_noise,0.27446249127388
0,153,153,rtu_weekly_diff_first_diff_ar_process_noise,0.03849051147699356
0,154,154,rtu_weekly_diff_first_diff_ar_process_noise,0.01773778535425663
0,155,155,rtu_weekly_diff_first_diff_ar_process_noise,0.29980310797691345
0,156,156,rtu_weekly_diff_first_diff_ar_process_noise,-0.23223595321178436
0,157,157,rtu_weekly_diff_first_diff_ar_process_noise,0.02969076670706272
0,158,158,rtu_weekly_diff_first_diff_ar_process_noise,0.0871502012014389
0,159,159,rtu_weekly_diff_first_diff_ar_process_noise,0.06320755183696747
0,160,160,rtu_weekly_diff_first_diff_ar_process_noise,0.08394933491945267
0,161,161,rtu_weekly_diff_first_diff_ar_process_noise,0.14350703358650208
0,162,162,rtu_weekly_diff_first_diff_ar_process_noise,0.1180063933134079
0,163,163,rtu_weekly_diff_first_diff_ar_process_noise,0.09071462601423264
0,164,164,rtu_weekly_diff_first_diff_ar_process_noise,0.06360967457294464
0,165,165,rtu_weekly_diff_first_diff_ar_process_noise,0.2140742391347885
0,166,166,rtu_weekly_diff_first_diff_ar_process_noise,0.1345137357711792
0,167,167,rtu_weekly_diff_first_diff_ar_process_noise,0.3008434474468231
0,168,168,rtu_weekly_diff_first_diff_ar_process_noise,0.3207979202270508
0,169,169,rtu_weekly_diff_first_diff_ar_process_noise,0.061563532799482346
0,170,170,rtu_weekly_diff_first_diff_ar_process_noise,0.0771787241101265
0,171,171,rtu_weekly_diff_first_diff_ar_process_noise,0.13799911737442017
0,172,172,rtu_weekly_diff_first_diff_ar_process_noise,0.08543381839990616
0,173,173,rtu_weekly_diff_first_diff_ar_process_noise,-0.07242119312286377
0,174,174,rtu_weekly_diff_first_diff_ar_process_noise,0.11476992070674896
0,175,175,rtu_weekly_diff_first_diff_ar_process_noise,-0.03445032984018326
0,176,176,rtu_weekly_diff_first_diff_ar_process_noise,0.1257912963628769
0,177,177,rtu_weekly_diff_first_diff_ar_process_noise,0.2327524721622467
