state,date,hosp
AK,2022/08/24,0
AK,2022/08/25,0
AK,2022/08/26,0
AK,2022/08/27,0
AK,2022/08/28,0
AK,2022/08/29,0
AK,2022/08/30,0
AK,2022/08/31,0
AK,2022/09/01,0
AK,2022/09/02,0
AK,2022/09/03,0
AK,2022/09/04,0
AK,2022/09/05,0
AK,2022/09/06,2
AK,2022/09/07,1
AK,2022/09/08,1
AK,2022/09/09,0
AK,2022/09/10,1
AK,2022/09/11,0
AK,2022/09/12,0
AK,2022/09/13,0
AK,2022/09/14,0
AK,2022/09/15,0
AK,2022/09/16,0
AK,2022/09/17,0
AK,2022/09/18,0
AK,2022/09/19,0
AK,2022/09/20,0
AK,2022/09/21,0
AK,2022/09/22,0
AK,2022/09/23,0
AK,2022/09/24,0
AK,2022/09/25,0
AK,2022/09/26,0
AK,2022/09/27,0
AK,2022/09/28,2
AK,2022/09/29,0
AK,2022/09/30,0
AK,2022/10/01,0
AK,2022/10/02,0
AK,2022/10/03,0
AK,2022/10/04,0
AK,2022/10/05,0
AK,2022/10/06,0
AK,2022/10/07,0
AK,2022/10/08,0
AK,2022/10/09,3
AK,2022/10/10,0
AK,2022/10/11,0
AK,2022/10/12,0
AK,2022/10/13,0
AK,2022/10/14,0
AK,2022/10/15,2
AK,2022/10/16,0
AK,2022/10/17,0
AK,2022/10/18,0
AK,2022/10/19,0
AK,2022/10/20,0
AK,2022/10/21,1
AK,2022/10/22,0
AK,2022/10/23,2
AK,2022/10/24,0
AK,2022/10/25,1
AK,2022/10/26,3
AK,2022/10/27,3
AK,2022/10/28,0
AK,2022/10/29,2
AK,2022/10/30,5
AK,2022/10/31,2
AK,2022/11/01,3
AK,2022/11/02,2
AK,2022/11/03,0
AK,2022/11/04,2
AK,2022/11/05,1
AK,2022/11/06,0
AK,2022/11/07,2
AK,2022/11/08,2
AK,2022/11/09,2
AK,2022/11/10,0
AK,2022/11/11,2
AK,2022/11/12,6
AK,2022/11/13,6
AK,2022/11/14,8
AK,2022/11/15,6
AK,2022/11/16,1
AK,2022/11/17,1
AK,2022/11/18,9
AK,2022/11/19,7
AK,2022/11/20,6
AK,2022/11/21,12
AK,2022/11/22,12
AK,2022/11/23,6
AK,2022/11/24,8
AK,2022/11/25,15
AK,2022/11/26,10
AK,2022/11/27,3
AK,2022/11/28,9
AK,2022/11/29,4
AK,2022/11/30,10
AK,2022/12/01,11
AK,2022/12/02,11
AK,2022/12/03,5
AK,2022/12/04,8
AK,2022/12/05,7
AK,2022/12/06,12
AK,2022/12/07,13
AK,2022/12/08,12
AK,2022/12/09,9
AK,2022/12/10,12
AK,2022/12/11,12
AK,2022/12/12,8
AK,2022/12/13,9
AK,2022/12/14,6
AK,2022/12/15,7
AK,2022/12/16,3
AK,2022/12/17,6
AK,2022/12/18,6
AK,2022/12/19,5
AK,2022/12/20,4
AK,2022/12/21,11
AK,2022/12/22,10
AK,2022/12/23,3
AK,2022/12/24,4
AK,2022/12/25,3
AK,2022/12/26,3
AK,2022/12/27,8
AK,2022/12/28,6
AK,2022/12/29,7
AK,2022/12/30,10
AK,2022/12/31,6
AK,2023/01/01,4
AK,2023/01/02,4
AK,2023/01/03,6
AK,2023/01/04,5
AK,2023/01/05,2
AK,2023/01/06,5
AK,2023/01/07,6
AK,2023/01/08,1
AK,2023/01/09,1
AK,2023/01/10,1
AK,2023/01/11,0
AK,2023/01/12,1
AK,2023/01/13,3
AK,2023/01/14,0
AK,2023/01/15,0
AK,2023/01/16,1
AK,2023/01/17,1
AK,2023/01/18,2
AK,2023/01/19,1
AK,2023/01/20,1
AK,2023/01/21,1
AK,2023/01/22,2
AK,2023/01/23,0
AK,2023/01/24,1
AK,2023/01/25,0
AK,2023/01/26,0
AK,2023/01/27,1
AK,2023/01/28,1
AK,2023/01/29,0
AK,2023/01/30,0
AK,2023/01/31,0
AK,2023/02/01,1
AK,2023/02/02,2
AK,2023/02/03,0
AK,2023/02/04,0
AK,2023/02/05,0
AK,2023/02/06,0
AK,2023/02/07,0
AK,2023/02/08,1
AK,2023/02/09,0
AK,2023/02/10,0
AK,2023/02/11,0
AK,2023/02/12,0
AK,2023/02/13,0
AK,2023/02/14,1
AK,2023/02/15,0
AK,2023/02/16,1
AK,2023/02/17,0
AK,2023/02/18,0
AK,2023/02/19,1
AK,2023/02/20,1
AK,2023/02/21,0
AK,2023/02/22,0
AK,2023/02/23,0
AK,2023/02/24,1
AK,2023/02/25,2
AK,2023/02/26,0
AK,2023/02/27,0
AK,2023/02/28,0
AK,2023/03/01,0
AK,2023/03/02,0
AK,2023/03/03,1
AK,2023/03/04,1
AK,2023/03/05,1
AK,2023/03/06,0
AK,2023/03/07,1
AK,2023/03/08,2
AK,2023/03/09,0
AK,2023/03/10,0
AK,2023/03/11,0
AK,2023/03/12,0
AK,2023/03/13,0
AK,2023/03/14,0
AK,2023/03/15,0
AK,2023/03/16,0
AK,2023/03/17,0
AK,2023/03/18,1
AK,2023/03/19,0
AK,2023/03/20,0
AK,2023/03/21,2
AK,2023/03/22,0
AK,2023/03/23,0
AK,2023/03/24,0
AK,2023/03/25,1
AK,2023/03/26,1
AK,2023/03/27,0
AK,2023/03/28,0
AK,2023/03/29,0
AK,2023/03/30,0
AK,2023/03/31,0
AK,2023/04/01,0
AK,2023/04/02,0
AK,2023/04/03,0
AK,2023/04/04,0
AK,2023/04/05,0
AK,2023/04/06,0
AK,2023/04/07,1
AK,2023/04/08,1
AK,2023/04/09,0
AK,2023/04/10,0
AK,2023/04/11,0
AK,2023/04/12,0
AK,2023/04/13,1
AK,2023/04/14,0
AK,2023/04/15,1
AK,2023/04/16,0
AK,2023/04/17,0
AK,2023/04/18,0
AK,2023/04/19,1
AK,2023/04/20,0
AK,2023/04/21,0
AK,2023/04/22,0
AK,2023/04/23,0
AK,2023/04/24,0
AK,2023/04/25,0
AK,2023/04/26,0
AK,2023/04/27,0
AK,2023/04/28,0
AK,2023/04/29,0
AK,2023/04/30,0
AK,2023/05/01,0
AK,2023/05/02,1
